epoch,loss,loss_eq_l1_constraint,loss_obj,val_loss
0,1514.2001953125,2200.54638671875,-686.3462524414062,-615.0706787109375
1,-1712.3487548828125,1174.7342529296875,-2887.0830078125,-2638.192626953125
2,-3677.68505859375,1157.90380859375,-4835.5888671875,-4606.19970703125
3,-4206.45654296875,1395.69775390625,-5602.154296875,-5826.6484375
4,-6640.0,1564.4119873046875,-8204.412109375,-7858.53955078125
5,-9517.2548828125,2098.034423828125,-11615.2890625,-12099.7802734375
6,-11972.419921875,1972.1756591796875,-13944.595703125,-13862.4580078125
7,-9276.234375,1969.840087890625,-11246.07421875,-12993.103515625
8,-12560.18359375,2102.0869140625,-14662.2705078125,-14588.5927734375
9,-13028.1416015625,2145.119140625,-15173.2607421875,-15103.4248046875
10,-13213.2841796875,2163.234375,-15376.5185546875,-15096.794921875
11,-13016.798828125,2235.064453125,-15251.86328125,-14694.490234375
12,-12792.0947265625,2302.725341796875,-15094.8203125,-14589.5517578125
13,-11773.84765625,2373.46923828125,-14147.3173828125,-15409.60546875
14,-13190.41015625,2496.09765625,-15686.5078125,-15640.845703125
15,-13818.28125,2535.59228515625,-16353.873046875,-16150.8955078125
16,-13320.560546875,2514.15478515625,-15834.71484375,-16146.5556640625
17,-12947.6328125,2599.609619140625,-15547.2421875,-16108.3349609375
18,-13903.0224609375,2662.264892578125,-16565.287109375,-15703.2080078125
19,-13079.3076171875,2728.8837890625,-15808.19140625,-14702.111328125
20,-13669.9755859375,2811.8857421875,-16481.861328125,-16088.95703125
21,-11844.916015625,2843.159912109375,-14688.076171875,-14278.78125
22,-13239.7236328125,2893.216796875,-16132.9404296875,-16017.939453125
23,-13023.173828125,2931.4365234375,-15954.6103515625,-15938.7236328125
24,-12651.150390625,2960.71240234375,-15611.86328125,-15905.1044921875
25,-12756.01953125,3030.67431640625,-15786.693359375,-15761.947265625
26,-13010.9140625,3191.99853515625,-16202.912109375,-16301.3134765625
27,-12671.2900390625,3239.3544921875,-15910.64453125,-15165.875
28,-12103.810546875,3251.231689453125,-15355.0419921875,-15715.833984375
29,-13089.8837890625,3202.89453125,-16292.7783203125,-15718.06640625
30,-11977.66015625,3271.81787109375,-15249.478515625,-15731.294921875
31,-11839.6015625,3352.81103515625,-15192.4130859375,-15229.4541015625
32,-11667.18359375,3359.809326171875,-15026.9931640625,-14737.0478515625
33,-11719.9921875,3414.81640625,-15134.80859375,-15282.7080078125
34,-12267.701171875,3437.11279296875,-15704.814453125,-15630.052734375
35,-11675.638671875,3513.85791015625,-15189.49609375,-15380.2939453125
36,-12693.787109375,3572.54736328125,-16266.333984375,-15818.67578125
37,-9993.4677734375,3571.7119140625,-13565.1796875,-13923.435546875
38,-11176.9482421875,3583.9423828125,-14760.890625,-14444.009765625
39,-10378.6435546875,3630.1064453125,-14008.75,-15053.46484375
40,-11182.26171875,3627.8291015625,-14810.0908203125,-14667.3779296875
41,-11055.3828125,3659.769775390625,-14715.15234375,-15426.6845703125
42,-11365.7255859375,3680.264892578125,-15045.990234375,-14840.1708984375
43,-11844.1328125,3733.99951171875,-15578.1328125,-15070.7255859375
44,-11407.646484375,3806.82421875,-15214.470703125,-15706.150390625
45,-11463.787109375,3834.41259765625,-15298.2001953125,-15601.826171875
46,-10205.955078125,3935.378173828125,-14141.3330078125,-15091.5205078125
47,-10690.470703125,3971.04736328125,-14661.5185546875,-14825.62109375
48,-11761.4736328125,4030.2060546875,-15791.6796875,-15694.6005859375
49,-11959.220703125,4050.80322265625,-16010.0234375,-15484.177734375
50,-11542.595703125,4070.236328125,-15612.83203125,-15410.94921875
51,-11574.130859375,4102.45166015625,-15676.58203125,-14783.0703125
52,-11855.212890625,4147.845703125,-16003.05859375,-15235.3291015625
53,-10238.455078125,4197.56005859375,-14436.015625,-14070.8115234375
54,-11100.841796875,4253.63818359375,-15354.48046875,-15504.62109375
55,-10876.263671875,4346.29541015625,-15222.55859375,-15230.26171875
56,-11292.1923828125,4405.7177734375,-15697.91015625,-15037.921875
57,-10691.21484375,4435.8740234375,-15127.0888671875,-15294.744140625
58,-10343.1162109375,4460.6982421875,-14803.814453125,-14352.8212890625
59,-10084.87109375,4501.42578125,-14586.296875,-14756.5263671875
60,-10292.1728515625,4584.822265625,-14876.9951171875,-15013.2919921875
61,-10739.8974609375,4644.4580078125,-15384.35546875,-14423.921875
62,-10303.4609375,4668.29541015625,-14971.7568359375,-15366.044921875
63,-10473.767578125,4714.3046875,-15188.072265625,-15263.357421875
64,-10432.2353515625,4737.07421875,-15169.3095703125,-14975.236328125
65,-9311.060546875,4759.1689453125,-14070.2294921875,-15231.978515625
66,-10289.62109375,4814.6591796875,-15104.2802734375,-15069.625
67,-10927.9951171875,4836.0361328125,-15764.03125,-15385.927734375
68,-9736.09765625,4886.62841796875,-14622.7265625,-15169.046875
69,-11032.8740234375,4905.5888671875,-15938.462890625,-14781.8759765625
70,-10299.6162109375,4981.744140625,-15281.3603515625,-13812.822265625
71,-10122.224609375,5011.58203125,-15133.806640625,-12020.96875
72,-10015.6796875,5061.81298828125,-15077.4921875,-15139.46484375
73,-9368.6435546875,5126.3701171875,-14495.013671875,-14942.9150390625
74,-10060.912109375,5153.4228515625,-15214.3349609375,-14253.578125
75,-9058.39453125,5234.1796875,-14292.57421875,-14846.8076171875
76,-10503.1015625,5304.44140625,-15807.54296875,-15125.9482421875
