epoch,loss,val_loss
0,-16078.3017578125,-16966.767578125
1,-16699.5546875,-17461.626953125
2,-16945.56640625,-16884.06640625
3,-16893.5078125,-16901.11328125
4,-16953.6171875,-17268.31640625
5,-17042.51171875,-17709.6875
6,-16883.859375,-17459.54296875
7,-17090.896484375,-18037.001953125
8,-17333.87109375,-16583.14453125
9,-16998.7109375,-16606.67578125
10,-17407.595703125,-17090.63671875
11,-17571.927734375,-17752.55078125
12,-17766.88671875,-17794.16796875
13,-17746.6484375,-17657.16015625
14,-17957.0703125,-18697.95703125
15,-17691.02734375,-18624.833984375
16,-17674.61328125,-13196.66796875
17,-17263.5703125,-17310.55859375
18,-17393.12890625,-17422.8984375
19,-17488.025390625,-18052.111328125
20,-17529.265625,-17059.84765625
21,-17627.8125,-17530.6328125
22,-17686.23828125,-15224.98046875
23,-17644.28125,-18158.6328125
24,-17722.328125,-17859.505859375
25,-17825.328125,-17765.576171875
26,-17777.03125,-17607.033203125
27,-17841.68359375,-17776.6796875
28,-17991.974609375,-16083.166015625
29,-18040.884765625,-18259.111328125
30,-18270.01953125,-18467.517578125
31,-18015.37890625,-18538.025390625
32,-17780.705078125,-18046.740234375
33,-17732.037109375,-17698.634765625
34,-17763.66015625,-18530.9140625
35,-17983.9609375,-18665.31640625
36,-18031.74609375,-18218.63671875
37,-18104.048828125,-18350.841796875
38,-18224.8125,-18761.755859375
39,-18552.12890625,-19099.798828125
40,-18345.35546875,-18738.7421875
41,-18479.8984375,-18832.189453125
42,-18430.322265625,-19147.716796875
43,-18482.1640625,-18945.23828125
44,-18331.037109375,-18647.48828125
45,-18316.619140625,-18919.759765625
46,-18429.87109375,-18676.15234375
47,-18475.96875,-18774.330078125
48,-18594.30859375,-18570.044921875
49,-18563.59765625,-15517.8984375
50,-18740.3359375,-18988.0859375
51,-18668.119140625,-18813.9453125
52,-18699.1640625,-19327.220703125
53,-18531.736328125,-18580.43359375
54,-18651.52734375,-19176.521484375
55,-18652.4765625,-18466.99609375
56,-18635.5703125,-18951.458984375
57,-18638.2265625,-18708.923828125
58,-18533.541015625,-19093.84375
59,-18797.119140625,-19307.005859375
60,-18756.025390625,-19370.177734375
61,-18610.548828125,-19329.8984375
62,-18790.095703125,-19136.669921875
63,-18742.52734375,-18453.46875
64,-18795.052734375,-19064.6171875
65,-18672.10546875,-18473.853515625
66,-18681.560546875,-19067.41015625
67,-19011.216796875,-18627.751953125
68,-19186.673828125,-19772.703125
69,-19343.6328125,-19161.03515625
70,-19280.740234375,-19112.66015625
71,-19205.53125,-18717.0546875
72,-19133.130859375,-18637.033203125
73,-19114.74609375,-19717.810546875
74,-19092.52734375,-19252.865234375
75,-19277.83984375,-18655.685546875
76,-19168.494140625,-19412.490234375
77,-19186.865234375,-16747.580078125
78,-19148.9921875,-19016.05078125
79,-19132.5078125,-19741.69921875
80,-19189.85546875,-19781.91796875
81,-19446.74609375,-19964.794921875
82,-19347.380859375,-19596.171875
83,-19160.068359375,-18895.5
84,-19247.544921875,-19289.587890625
85,-19144.61328125,-18779.490234375
86,-19228.53125,-15356.955078125
87,-19475.689453125,-19236.3515625
88,-19150.373046875,-19322.359375
89,-19128.21875,-18692.181640625
90,-19230.42578125,-19477.29296875
91,-19160.63671875,-18989.201171875
92,-19185.4453125,-19732.85546875
93,-19182.638671875,-19823.755859375
94,-19309.82421875,-20231.05078125
95,-19253.724609375,-18990.173828125
96,-19395.12109375,-19658.9609375
97,-19348.666015625,-20065.22265625
98,-19456.3046875,-18767.17578125
99,-19372.173828125,-19586.83203125
100,-19344.505859375,-19805.326171875
101,-19357.611328125,-19049.6484375
102,-19383.09765625,-18042.544921875
103,-19193.85546875,-19572.109375
104,-19264.7578125,-20121.30859375
105,-19294.423828125,-20164.3671875
106,-19285.47265625,-19872.310546875
107,-19288.37890625,-16600.693359375
108,-19293.591796875,-19772.009765625
109,-19193.734375,-18636.541015625
110,-19064.5859375,-16898.96875
111,-19242.107421875,-19146.626953125
112,-19302.822265625,-18267.9375
113,-19149.587890625,-20115.2421875
114,-19092.255859375,-19616.7265625
115,-19118.826171875,-17854.544921875
116,-19140.138671875,-18988.404296875
117,-18995.62890625,-18820.02734375
118,-19014.564453125,-18273.732421875
119,-18988.38671875,-18558.48046875
120,-19355.947265625,-19839.974609375
121,-19303.271484375,-19301.935546875
122,-19211.884765625,-18536.314453125
123,-19011.79296875,-19388.69921875
124,-19019.44921875,-17901.5078125
125,-18927.828125,-19786.765625
126,-19007.150390625,-18690.23828125
127,-18958.8203125,-17519.240234375
128,-19103.310546875,-18839.12109375
129,-19174.255859375,-19178.45703125
130,-19415.46875,-19139.333984375
131,-19422.0390625,-19701.845703125
132,-19365.986328125,-17936.173828125
133,-19231.26953125,-19522.314453125
134,-19189.287109375,-18168.173828125
135,-19241.0859375,-18678.61328125
136,-19155.755859375,-19219.078125
137,-19312.685546875,-19412.755859375
138,-19297.595703125,-19584.439453125
139,-19368.83984375,-20091.857421875
140,-19214.7890625,-20059.740234375
141,-19263.041015625,-18279.37890625
142,-19375.43359375,-19263.515625
143,-19396.02734375,-17678.27734375
144,-19400.076171875,-20103.583984375
